instruction,necessary_context,background_context,representation_key,output,composite_z
gpt1,necessary-domain2,domain3,text,out2,
gpt1,necessary-domain2,domain3,text,out4,
gpt1,necessary-domain2,performance3,json,out1,
gpt1,necessary-domain2,performance3,json,out2,
gpt1,necessary-domain2,performance3,json,out4,
gpt1,necessary-domain2,performance3,text,out1,
gpt1,necessary-domain2,performance3,text,out2,
gpt1,necessary-domain2,performance3,text,out4,
gpt1,necessary-domain2,test1,json,out1,
gpt1,necessary-domain2,test1,json,out2,
gpt1,necessary-domain2,test1,json,out4,
gpt1,necessary-domain2,test1,text,out1,
gpt1,necessary-domain2,test1,text,out2,
gpt1,necessary-domain2,test1,text,out4,
gpt1,necessary-domain2,test3,json,out1,
gpt1,necessary-domain2,test3,json,out2,
gpt1,necessary-domain2,test3,json,out4,
gpt1,necessary-domain2,test3,text,out1,
gpt1,necessary-domain2,test3,text,out2,
gpt1,necessary-domain2,test3,text,out4,
relation1,domain2,assumption,json,out1,
relation1,domain2,assumption,json,out2,
relation1,domain2,assumption,json,out4,
relation1,domain2,assumption,text,out1,
relation1,domain2,assumption,text,out2,
relation1,domain2,assumption,text,out4,
relation1,domain2,domain2,json,out1,
relation1,domain2,domain2,json,out2,
relation1,domain2,domain2,json,out4,
relation1,domain2,domain2,text,out1,
relation1,domain2,domain2,text,out2,
relation1,domain2,domain2,text,out4,
relation1,domain2,domain3,json,out1,
relation1,domain2,domain3,json,out2,
relation1,domain2,domain3,json,out4,
relation1,domain2,domain3,text,out1,
relation1,domain2,domain3,text,out2,
relation1,domain2,domain3,text,out4,
relation1,domain2,performance3,json,out1,
relation1,domain2,performance3,json,out2,
relation1,domain2,performance3,json,out4,
relation1,domain2,performance3,text,out1,
relation1,domain2,performance3,text,out2,
relation1,domain2,performance3,text,out4,
relation1,domain2,test1,json,out1,
relation1,domain2,test1,json,out2,
relation1,domain2,test1,json,out4,
relation1,domain2,test1,text,out1,
relation1,domain2,test1,text,out2,
relation1,domain2,test1,text,out4,
relation1,domain2,test3,json,out1,
relation1,domain2,test3,json,out2,
relation1,domain2,test3,json,out4,
relation1,domain2,test3,text,out1,
relation1,domain2,test3,text,out2,
relation1,domain2,test3,text,out4,
relation1,necessary-domain1,assumption,json,out1,
relation1,necessary-domain1,assumption,json,out2,
relation1,necessary-domain1,assumption,json,out4,
relation1,necessary-domain1,assumption,text,out1,
relation1,necessary-domain1,assumption,text,out2,
relation1,necessary-domain1,assumption,text,out4,
relation1,necessary-domain1,domain2,json,out1,
relation1,necessary-domain1,domain2,json,out2,
relation1,necessary-domain1,domain2,json,out4,
relation1,necessary-domain1,domain2,text,out1,
relation1,necessary-domain1,domain2,text,out2,
relation1,necessary-domain1,domain2,text,out4,
relation1,necessary-domain1,domain3,json,out1,
relation1,necessary-domain1,domain3,json,out2,
relation1,necessary-domain1,domain3,json,out4,
relation1,necessary-domain1,domain3,text,out1,
relation1,necessary-domain1,domain3,text,out2,
relation1,necessary-domain1,domain3,text,out4,
relation1,necessary-domain1,performance3,json,out1,
relation1,necessary-domain1,performance3,json,out2,
relation1,necessary-domain1,performance3,json,out4,
relation1,necessary-domain1,performance3,text,out1,
relation1,necessary-domain1,performance3,text,out2,
relation1,necessary-domain1,performance3,text,out4,
relation1,necessary-domain1,test1,json,out1,
relation1,necessary-domain1,test1,json,out2,
relation1,necessary-domain1,test1,json,out4,
relation1,necessary-domain1,test1,text,out1,
relation1,necessary-domain1,test1,text,out2,
relation1,necessary-domain1,test1,text,out4,
relation1,necessary-domain1,test3,json,out1,
relation1,necessary-domain1,test3,json,out2,
relation1,necessary-domain1,test3,json,out4,
relation1,necessary-domain1,test3,text,out1,
relation1,necessary-domain1,test3,text,out2,
relation1,necessary-domain1,test3,text,out4,
relation1,necessary-domain2,assumption,json,out1,
relation1,necessary-domain2,assumption,json,out2,
relation1,necessary-domain2,assumption,json,out4,
relation1,necessary-domain2,assumption,text,out1,
relation1,necessary-domain2,assumption,text,out2,
relation1,necessary-domain2,assumption,text,out4,
relation1,necessary-domain2,domain2,json,out1,
relation1,necessary-domain2,domain2,json,out2,
relation1,necessary-domain2,domain2,json,out4,
relation1,necessary-domain2,domain2,text,out1,
relation1,necessary-domain2,domain2,text,out2,
relation1,necessary-domain2,domain2,text,out4,
relation1,necessary-domain2,domain3,json,out1,
relation1,necessary-domain2,domain3,json,out2,
relation1,necessary-domain2,domain3,json,out4,
relation1,necessary-domain2,domain3,text,out1,
relation1,necessary-domain2,domain3,text,out2,
relation1,necessary-domain2,domain3,text,out4,
relation1,necessary-domain2,performance3,json,out1,
relation1,necessary-domain2,performance3,json,out2,
relation1,necessary-domain2,performance3,json,out4,
relation1,necessary-domain2,performance3,text,out1,
relation1,necessary-domain2,performance3,text,out2,
relation1,necessary-domain2,performance3,text,out4,
relation1,necessary-domain2,test1,json,out1,
relation1,necessary-domain2,test1,json,out2,
relation1,necessary-domain2,test1,json,out4,
relation1,necessary-domain2,test1,text,out1,
relation1,necessary-domain2,test1,text,out2,
relation1,necessary-domain2,test1,text,out4,
relation1,necessary-domain2,test3,json,out1,
relation1,necessary-domain2,test3,json,out2,-0.021118635971920964
relation1,necessary-domain2,test3,json,out4,
relation1,necessary-domain2,test3,text,out1,
relation1,necessary-domain2,test3,text,out2,0.01970327944586714
relation1,necessary-domain2,test3,text,out4,
relation2,domain2,assumption,json,out1,
relation2,domain2,assumption,json,out2,
relation2,domain2,assumption,json,out4,
relation2,domain2,assumption,text,out1,
relation2,domain2,assumption,text,out2,
relation2,domain2,assumption,text,out4,
relation2,domain2,domain2,json,out1,
relation2,domain2,domain2,json,out2,
relation2,domain2,domain2,json,out4,
relation2,domain2,domain2,text,out1,
relation2,domain2,domain2,text,out2,
relation2,domain2,domain2,text,out4,
relation2,domain2,domain3,json,out1,
relation2,domain2,domain3,json,out2,
relation2,domain2,domain3,json,out4,
relation2,domain2,domain3,text,out1,
relation2,domain2,domain3,text,out2,
relation2,domain2,domain3,text,out4,
relation2,domain2,performance3,json,out1,
relation2,domain2,performance3,json,out2,
relation2,domain2,performance3,json,out4,
relation2,domain2,performance3,text,out1,
relation2,domain2,performance3,text,out2,
relation2,domain2,performance3,text,out4,
relation2,domain2,test1,json,out1,
relation2,domain2,test1,json,out2,
relation2,domain2,test1,json,out4,
relation2,domain2,test1,text,out1,
relation2,domain2,test1,text,out2,
relation2,domain2,test1,text,out4,
relation2,domain2,test3,json,out1,
relation2,domain2,test3,json,out2,
relation2,domain2,test3,json,out4,
relation2,domain2,test3,text,out1,
relation2,domain2,test3,text,out2,
relation2,domain2,test3,text,out4,
relation2,necessary-domain1,assumption,json,out1,
relation2,necessary-domain1,assumption,json,out2,
relation2,necessary-domain1,assumption,json,out4,
relation2,necessary-domain1,assumption,text,out1,
relation2,necessary-domain1,assumption,text,out2,
relation2,necessary-domain1,assumption,text,out4,
relation2,necessary-domain1,domain2,json,out1,
relation2,necessary-domain1,domain2,json,out2,
relation2,necessary-domain1,domain2,json,out4,
relation2,necessary-domain1,domain2,text,out1,
relation2,necessary-domain1,domain2,text,out2,
relation2,necessary-domain1,domain2,text,out4,
relation2,necessary-domain1,domain3,json,out1,
relation2,necessary-domain1,domain3,json,out2,
relation2,necessary-domain1,domain3,json,out4,
relation2,necessary-domain1,domain3,text,out1,
relation2,necessary-domain1,domain3,text,out2,
relation2,necessary-domain1,domain3,text,out4,
relation2,necessary-domain1,performance3,json,out1,
relation2,necessary-domain1,performance3,json,out2,
relation2,necessary-domain1,performance3,json,out4,
relation2,necessary-domain1,performance3,text,out1,
relation2,necessary-domain1,performance3,text,out2,
relation2,necessary-domain1,performance3,text,out4,
relation2,necessary-domain1,test1,json,out1,
relation2,necessary-domain1,test1,json,out2,
relation2,necessary-domain1,test1,json,out4,
relation2,necessary-domain1,test1,text,out1,
relation2,necessary-domain1,test1,text,out2,
relation2,necessary-domain1,test1,text,out4,
relation2,necessary-domain1,test3,json,out1,
relation2,necessary-domain1,test3,json,out2,
relation2,necessary-domain1,test3,json,out4,
relation2,necessary-domain1,test3,text,out1,
relation2,necessary-domain1,test3,text,out2,
relation2,necessary-domain1,test3,text,out4,
relation2,necessary-domain2,assumption,json,out1,
relation2,necessary-domain2,assumption,json,out2,
relation2,necessary-domain2,assumption,json,out4,
relation2,necessary-domain2,assumption,text,out1,
relation2,necessary-domain2,assumption,text,out2,
relation2,necessary-domain2,assumption,text,out4,
relation2,necessary-domain2,domain2,json,out1,
relation2,necessary-domain2,domain2,json,out2,
relation2,necessary-domain2,domain2,json,out4,
relation2,necessary-domain2,domain2,text,out1,
relation2,necessary-domain2,domain2,text,out2,
relation2,necessary-domain2,domain2,text,out4,
relation2,necessary-domain2,domain3,json,out1,
relation2,necessary-domain2,domain3,json,out2,
relation2,necessary-domain2,domain3,json,out4,
relation2,necessary-domain2,domain3,text,out1,
relation2,necessary-domain2,domain3,text,out2,
relation2,necessary-domain2,domain3,text,out4,
relation2,necessary-domain2,performance3,json,out1,
relation2,necessary-domain2,performance3,json,out2,-0.05635259679915835
relation2,necessary-domain2,performance3,json,out4,
relation2,necessary-domain2,performance3,text,out1,
relation2,necessary-domain2,performance3,text,out2,-0.1667555360253731
relation2,necessary-domain2,performance3,text,out4,
relation2,necessary-domain2,test1,json,out1,
relation2,necessary-domain2,test1,json,out2,
relation2,necessary-domain2,test1,json,out4,
relation2,necessary-domain2,test1,text,out1,
relation2,necessary-domain2,test1,text,out2,
relation2,necessary-domain2,test1,text,out4,
relation2,necessary-domain2,test3,json,out1,
relation2,necessary-domain2,test3,json,out2,
relation2,necessary-domain2,test3,json,out4,
relation2,necessary-domain2,test3,text,out1,
relation2,necessary-domain2,test3,text,out2,
relation2,necessary-domain2,test3,text,out4,
role1,domain2,assumption,json,out1,
role1,domain2,assumption,json,out2,
role1,domain2,assumption,json,out4,
role1,domain2,assumption,text,out1,
role1,domain2,assumption,text,out2,
role1,domain2,assumption,text,out4,
role1,domain2,domain2,json,out1,
role1,domain2,domain2,json,out2,
role1,domain2,domain2,json,out4,
role1,domain2,domain2,text,out1,
role1,domain2,domain2,text,out2,
role1,domain2,domain2,text,out4,
role1,domain2,domain3,json,out1,
role1,domain2,domain3,json,out2,
role1,domain2,domain3,json,out4,
role1,domain2,domain3,text,out1,
role1,domain2,domain3,text,out2,
role1,domain2,domain3,text,out4,
role1,domain2,performance3,json,out1,
role1,domain2,performance3,json,out2,
role1,domain2,performance3,json,out4,
role1,domain2,performance3,text,out1,
role1,domain2,performance3,text,out2,
role1,domain2,performance3,text,out4,
role1,domain2,test1,json,out1,
role1,domain2,test1,json,out2,
role1,domain2,test1,json,out4,
role1,domain2,test1,text,out1,
role1,domain2,test1,text,out2,
role1,domain2,test1,text,out4,
role1,domain2,test3,json,out1,
role1,domain2,test3,json,out2,
role1,domain2,test3,json,out4,
role1,domain2,test3,text,out1,
role1,domain2,test3,text,out2,
role1,domain2,test3,text,out4,
role1,necessary-domain1,assumption,json,out1,
role1,necessary-domain1,assumption,json,out2,
role1,necessary-domain1,assumption,json,out4,
role1,necessary-domain1,assumption,text,out1,
role1,necessary-domain1,assumption,text,out2,
role1,necessary-domain1,assumption,text,out4,
role1,necessary-domain1,domain2,json,out1,
role1,necessary-domain1,domain2,json,out2,
role1,necessary-domain1,domain2,json,out4,
role1,necessary-domain1,domain2,text,out1,
role1,necessary-domain1,domain2,text,out2,
role1,necessary-domain1,domain2,text,out4,
role1,necessary-domain1,domain3,json,out1,
role1,necessary-domain1,domain3,json,out2,
role1,necessary-domain1,domain3,json,out4,
role1,necessary-domain1,domain3,text,out1,
role1,necessary-domain1,domain3,text,out2,
role1,necessary-domain1,domain3,text,out4,
role1,necessary-domain1,performance3,json,out1,
role1,necessary-domain1,performance3,json,out2,
role1,necessary-domain1,performance3,json,out4,
role1,necessary-domain1,performance3,text,out1,
role1,necessary-domain1,performance3,text,out2,
role1,necessary-domain1,performance3,text,out4,
role1,necessary-domain1,test1,json,out1,
role1,necessary-domain1,test1,json,out2,
role1,necessary-domain1,test1,json,out4,
role1,necessary-domain1,test1,text,out1,
role1,necessary-domain1,test1,text,out2,
role1,necessary-domain1,test1,text,out4,
role1,necessary-domain1,test3,json,out1,0.15714391937387034
role1,necessary-domain1,test3,json,out2,
role1,necessary-domain1,test3,json,out4,
role1,necessary-domain1,test3,text,out1,0.07286797784026708
role1,necessary-domain1,test3,text,out2,
role1,necessary-domain1,test3,text,out4,
role1,necessary-domain2,assumption,json,out1,
role1,necessary-domain2,assumption,json,out2,
role1,necessary-domain2,assumption,json,out4,
role1,necessary-domain2,assumption,text,out1,
role1,necessary-domain2,assumption,text,out2,
role1,necessary-domain2,assumption,text,out4,
role1,necessary-domain2,domain2,json,out1,
role1,necessary-domain2,domain2,json,out2,-0.05332803696533354
role1,necessary-domain2,domain2,json,out4,
role1,necessary-domain2,domain2,text,out1,
role1,necessary-domain2,domain2,text,out2,-0.09839243935432603
role1,necessary-domain2,domain2,text,out4,
role1,necessary-domain2,domain3,json,out1,
role1,necessary-domain2,domain3,json,out2,
role1,necessary-domain2,domain3,json,out4,
role1,necessary-domain2,domain3,text,out1,
role1,necessary-domain2,domain3,text,out2,
role1,necessary-domain2,domain3,text,out4,
role1,necessary-domain2,performance3,json,out1,
role1,necessary-domain2,performance3,json,out2,
role1,necessary-domain2,performance3,json,out4,
role1,necessary-domain2,performance3,text,out1,
role1,necessary-domain2,performance3,text,out2,
role1,necessary-domain2,performance3,text,out4,
role1,necessary-domain2,test1,json,out1,
role1,necessary-domain2,test1,json,out2,
role1,necessary-domain2,test1,json,out4,
role1,necessary-domain2,test1,text,out1,
role1,necessary-domain2,test1,text,out2,
role1,necessary-domain2,test1,text,out4,
role1,necessary-domain2,test3,json,out1,
role1,necessary-domain2,test3,json,out2,
role1,necessary-domain2,test3,json,out4,
role1,necessary-domain2,test3,text,out1,
role1,necessary-domain2,test3,text,out2,
role1,necessary-domain2,test3,text,out4,
role3,domain2,assumption,json,out1,
role3,domain2,assumption,json,out2,
role3,domain2,assumption,json,out4,
role3,domain2,assumption,text,out1,
role3,domain2,assumption,text,out2,
role3,domain2,assumption,text,out4,
role3,domain2,domain2,json,out1,
role3,domain2,domain2,json,out2,
role3,domain2,domain2,json,out4,
role3,domain2,domain2,text,out1,
role3,domain2,domain2,text,out2,
role3,domain2,domain2,text,out4,
role3,domain2,domain3,json,out1,
role3,domain2,domain3,json,out2,
role3,domain2,domain3,json,out4,
role3,domain2,domain3,text,out1,
role3,domain2,domain3,text,out2,
role3,domain2,domain3,text,out4,
role3,domain2,performance3,json,out1,
role3,domain2,performance3,json,out2,
role3,domain2,performance3,json,out4,
role3,domain2,performance3,text,out1,
role3,domain2,performance3,text,out2,
role3,domain2,performance3,text,out4,
role3,domain2,test1,json,out1,
role3,domain2,test1,json,out2,
role3,domain2,test1,json,out4,
role3,domain2,test1,text,out1,
role3,domain2,test1,text,out2,
role3,domain2,test1,text,out4,
role3,domain2,test3,json,out1,
role3,domain2,test3,json,out2,
role3,domain2,test3,json,out4,
role3,domain2,test3,text,out1,
role3,domain2,test3,text,out2,
role3,domain2,test3,text,out4,
role3,necessary-domain1,assumption,json,out1,
role3,necessary-domain1,assumption,json,out2,
role3,necessary-domain1,assumption,json,out4,
role3,necessary-domain1,assumption,text,out1,
role3,necessary-domain1,assumption,text,out2,
role3,necessary-domain1,assumption,text,out4,
role3,necessary-domain1,domain2,json,out1,
role3,necessary-domain1,domain2,json,out2,
role3,necessary-domain1,domain2,json,out4,
role3,necessary-domain1,domain2,text,out1,
role3,necessary-domain1,domain2,text,out2,
role3,necessary-domain1,domain2,text,out4,
role3,necessary-domain1,domain3,json,out1,
role3,necessary-domain1,domain3,json,out2,0.06438912234918581
role3,necessary-domain1,domain3,json,out4,
role3,necessary-domain1,domain3,text,out1,
role3,necessary-domain1,domain3,text,out2,0.008814044755267968
role3,necessary-domain1,domain3,text,out4,
role3,necessary-domain1,performance3,json,out1,
role3,necessary-domain1,performance3,json,out2,
role3,necessary-domain1,performance3,json,out4,
role3,necessary-domain1,performance3,text,out1,
role3,necessary-domain1,performance3,text,out2,
role3,necessary-domain1,performance3,text,out4,
role3,necessary-domain1,test1,json,out1,
role3,necessary-domain1,test1,json,out2,
role3,necessary-domain1,test1,json,out4,
role3,necessary-domain1,test1,text,out1,
role3,necessary-domain1,test1,text,out2,
role3,necessary-domain1,test1,text,out4,
role3,necessary-domain1,test3,json,out1,
role3,necessary-domain1,test3,json,out2,
role3,necessary-domain1,test3,json,out4,
role3,necessary-domain1,test3,text,out1,
role3,necessary-domain1,test3,text,out2,
role3,necessary-domain1,test3,text,out4,
role3,necessary-domain2,assumption,json,out1,
role3,necessary-domain2,assumption,json,out2,
role3,necessary-domain2,assumption,json,out4,
role3,necessary-domain2,assumption,text,out1,
role3,necessary-domain2,assumption,text,out2,
role3,necessary-domain2,assumption,text,out4,
role3,necessary-domain2,domain2,json,out1,
role3,necessary-domain2,domain2,json,out2,
role3,necessary-domain2,domain2,json,out4,
role3,necessary-domain2,domain2,text,out1,
role3,necessary-domain2,domain2,text,out2,
role3,necessary-domain2,domain2,text,out4,
role3,necessary-domain2,domain3,json,out1,
role3,necessary-domain2,domain3,json,out2,
role3,necessary-domain2,domain3,json,out4,
role3,necessary-domain2,domain3,text,out1,
role3,necessary-domain2,domain3,text,out2,
role3,necessary-domain2,domain3,text,out4,
role3,necessary-domain2,performance3,json,out1,
role3,necessary-domain2,performance3,json,out2,
role3,necessary-domain2,performance3,json,out4,
role3,necessary-domain2,performance3,text,out1,
role3,necessary-domain2,performance3,text,out2,
role3,necessary-domain2,performance3,text,out4,
role3,necessary-domain2,test1,json,out1,
role3,necessary-domain2,test1,json,out2,
role3,necessary-domain2,test1,json,out4,
role3,necessary-domain2,test1,text,out1,
role3,necessary-domain2,test1,text,out2,
role3,necessary-domain2,test1,text,out4,
role3,necessary-domain2,test3,json,out1,
role3,necessary-domain2,test3,json,out2,
role3,necessary-domain2,test3,json,out4,
role3,necessary-domain2,test3,text,out1,
role3,necessary-domain2,test3,text,out2,
role3,necessary-domain2,test3,text,out4,
