instruction,necessary_context,background_context,representation_key,output,score
gpt1,necessary-domain2,domain3,text,out1,
gpt1,necessary-domain2,domain3,text,out2,
gpt1,necessary-domain2,domain3,text,out4,
gpt1,necessary-domain2,performance3,json,out1,
gpt1,necessary-domain2,performance3,json,out2,
gpt1,necessary-domain2,performance3,json,out4,
gpt1,necessary-domain2,performance3,text,out1,
gpt1,necessary-domain2,performance3,text,out2,
gpt1,necessary-domain2,performance3,text,out4,
gpt1,necessary-domain2,test1,json,out1,
gpt1,necessary-domain2,test1,json,out2,
gpt1,necessary-domain2,test1,json,out4,
gpt1,necessary-domain2,test1,text,out1,
gpt1,necessary-domain2,test1,text,out2,
gpt1,necessary-domain2,test1,text,out4,
gpt1,necessary-domain2,test3,json,out1,
gpt1,necessary-domain2,test3,json,out2,
gpt1,necessary-domain2,test3,json,out4,
gpt1,necessary-domain2,test3,text,out1,
gpt1,necessary-domain2,test3,text,out2,
gpt1,necessary-domain2,test3,text,out4,
relation1,domain2,assumption,json,out1,
relation1,domain2,assumption,json,out2,
relation1,domain2,assumption,json,out4,
relation1,domain2,assumption,text,out1,
relation1,domain2,assumption,text,out2,
relation1,domain2,assumption,text,out4,
relation1,domain2,domain2,json,out1,
relation1,domain2,domain2,json,out2,
relation1,domain2,domain2,json,out4,
relation1,domain2,domain2,text,out1,
relation1,domain2,domain2,text,out2,
relation1,domain2,domain2,text,out4,
relation1,domain2,domain3,json,out1,
relation1,domain2,domain3,json,out2,
relation1,domain2,domain3,json,out4,
relation1,domain2,domain3,text,out1,
relation1,domain2,domain3,text,out2,
relation1,domain2,domain3,text,out4,
relation1,domain2,performance3,json,out1,
relation1,domain2,performance3,json,out2,
relation1,domain2,performance3,json,out4,
relation1,domain2,performance3,text,out1,
relation1,domain2,performance3,text,out2,
relation1,domain2,performance3,text,out4,
relation1,domain2,test1,json,out1,
relation1,domain2,test1,json,out2,
relation1,domain2,test1,json,out4,
relation1,domain2,test1,text,out1,
relation1,domain2,test1,text,out2,
relation1,domain2,test1,text,out4,
relation1,domain2,test3,json,out1,
relation1,domain2,test3,json,out2,
relation1,domain2,test3,json,out4,
relation1,domain2,test3,text,out1,
relation1,domain2,test3,text,out2,
relation1,domain2,test3,text,out4,
relation1,necessary-domain1,assumption,json,out1,
relation1,necessary-domain1,assumption,json,out2,
relation1,necessary-domain1,assumption,json,out4,
relation1,necessary-domain1,assumption,text,out1,
relation1,necessary-domain1,assumption,text,out2,
relation1,necessary-domain1,assumption,text,out4,
relation1,necessary-domain1,domain2,json,out1,
relation1,necessary-domain1,domain2,json,out2,
relation1,necessary-domain1,domain2,json,out4,
relation1,necessary-domain1,domain2,text,out1,
relation1,necessary-domain1,domain2,text,out2,
relation1,necessary-domain1,domain2,text,out4,
relation1,necessary-domain1,domain3,json,out1,
relation1,necessary-domain1,domain3,json,out2,
relation1,necessary-domain1,domain3,json,out4,
relation1,necessary-domain1,domain3,text,out1,
relation1,necessary-domain1,domain3,text,out2,
relation1,necessary-domain1,domain3,text,out4,
relation1,necessary-domain1,performance3,json,out1,
relation1,necessary-domain1,performance3,json,out2,
relation1,necessary-domain1,performance3,json,out4,
relation1,necessary-domain1,performance3,text,out1,
relation1,necessary-domain1,performance3,text,out2,
relation1,necessary-domain1,performance3,text,out4,
relation1,necessary-domain1,test1,json,out1,
relation1,necessary-domain1,test1,json,out2,
relation1,necessary-domain1,test1,json,out4,
relation1,necessary-domain1,test1,text,out1,
relation1,necessary-domain1,test1,text,out2,
relation1,necessary-domain1,test1,text,out4,
relation1,necessary-domain1,test3,json,out1,
relation1,necessary-domain1,test3,json,out2,
relation1,necessary-domain1,test3,json,out4,
relation1,necessary-domain1,test3,text,out1,
relation1,necessary-domain1,test3,text,out2,
relation1,necessary-domain1,test3,text,out4,
relation1,necessary-domain2,assumption,json,out1,
relation1,necessary-domain2,assumption,json,out2,
relation1,necessary-domain2,assumption,json,out4,
relation1,necessary-domain2,assumption,text,out1,
relation1,necessary-domain2,assumption,text,out2,
relation1,necessary-domain2,assumption,text,out4,
relation1,necessary-domain2,domain2,json,out1,
relation1,necessary-domain2,domain2,json,out2,
relation1,necessary-domain2,domain2,json,out4,
relation1,necessary-domain2,domain2,text,out1,
relation1,necessary-domain2,domain2,text,out2,
relation1,necessary-domain2,domain2,text,out4,
relation1,necessary-domain2,domain3,json,out1,
relation1,necessary-domain2,domain3,json,out2,
relation1,necessary-domain2,domain3,json,out4,
relation1,necessary-domain2,domain3,text,out1,
relation1,necessary-domain2,domain3,text,out2,
relation1,necessary-domain2,domain3,text,out4,
relation1,necessary-domain2,performance3,json,out1,
relation1,necessary-domain2,performance3,json,out2,
relation1,necessary-domain2,performance3,json,out4,
relation1,necessary-domain2,performance3,text,out1,
relation1,necessary-domain2,performance3,text,out2,
relation1,necessary-domain2,performance3,text,out4,
relation1,necessary-domain2,test1,json,out1,
relation1,necessary-domain2,test1,json,out2,
relation1,necessary-domain2,test1,json,out4,
relation1,necessary-domain2,test1,text,out1,
relation1,necessary-domain2,test1,text,out2,
relation1,necessary-domain2,test1,text,out4,
relation1,necessary-domain2,test3,json,out1,
relation1,necessary-domain2,test3,json,out2,0.21998197948381207
relation1,necessary-domain2,test3,json,out4,
relation1,necessary-domain2,test3,text,out1,
relation1,necessary-domain2,test3,text,out2,0.21273944884422316
relation1,necessary-domain2,test3,text,out4,
relation2,domain2,assumption,json,out1,
relation2,domain2,assumption,json,out2,
relation2,domain2,assumption,json,out4,
relation2,domain2,assumption,text,out1,
relation2,domain2,assumption,text,out2,
relation2,domain2,assumption,text,out4,
relation2,domain2,domain2,json,out1,
relation2,domain2,domain2,json,out2,
relation2,domain2,domain2,json,out4,
relation2,domain2,domain2,text,out1,
relation2,domain2,domain2,text,out2,
relation2,domain2,domain2,text,out4,
relation2,domain2,domain3,json,out1,
relation2,domain2,domain3,json,out2,
relation2,domain2,domain3,json,out4,
relation2,domain2,domain3,text,out1,
relation2,domain2,domain3,text,out2,
relation2,domain2,domain3,text,out4,
relation2,domain2,performance3,json,out1,
relation2,domain2,performance3,json,out2,
relation2,domain2,performance3,json,out4,
relation2,domain2,performance3,text,out1,
relation2,domain2,performance3,text,out2,
relation2,domain2,performance3,text,out4,
relation2,domain2,test1,json,out1,
relation2,domain2,test1,json,out2,
relation2,domain2,test1,json,out4,
relation2,domain2,test1,text,out1,
relation2,domain2,test1,text,out2,
relation2,domain2,test1,text,out4,
relation2,domain2,test3,json,out1,
relation2,domain2,test3,json,out2,
relation2,domain2,test3,json,out4,
relation2,domain2,test3,text,out1,
relation2,domain2,test3,text,out2,
relation2,domain2,test3,text,out4,
relation2,necessary-domain1,assumption,json,out1,
relation2,necessary-domain1,assumption,json,out2,
relation2,necessary-domain1,assumption,json,out4,
relation2,necessary-domain1,assumption,text,out1,
relation2,necessary-domain1,assumption,text,out2,
relation2,necessary-domain1,assumption,text,out4,
relation2,necessary-domain1,domain2,json,out1,
relation2,necessary-domain1,domain2,json,out2,
relation2,necessary-domain1,domain2,json,out4,
relation2,necessary-domain1,domain2,text,out1,
relation2,necessary-domain1,domain2,text,out2,
relation2,necessary-domain1,domain2,text,out4,
relation2,necessary-domain1,domain3,json,out1,
relation2,necessary-domain1,domain3,json,out2,
relation2,necessary-domain1,domain3,json,out4,
relation2,necessary-domain1,domain3,text,out1,
relation2,necessary-domain1,domain3,text,out2,
relation2,necessary-domain1,domain3,text,out4,
relation2,necessary-domain1,performance3,json,out1,
relation2,necessary-domain1,performance3,json,out2,
relation2,necessary-domain1,performance3,json,out4,
relation2,necessary-domain1,performance3,text,out1,
relation2,necessary-domain1,performance3,text,out2,
relation2,necessary-domain1,performance3,text,out4,
relation2,necessary-domain1,test1,json,out1,
relation2,necessary-domain1,test1,json,out2,
relation2,necessary-domain1,test1,json,out4,
relation2,necessary-domain1,test1,text,out1,
relation2,necessary-domain1,test1,text,out2,
relation2,necessary-domain1,test1,text,out4,
relation2,necessary-domain1,test3,json,out1,
relation2,necessary-domain1,test3,json,out2,
relation2,necessary-domain1,test3,json,out4,
relation2,necessary-domain1,test3,text,out1,
relation2,necessary-domain1,test3,text,out2,
relation2,necessary-domain1,test3,text,out4,
relation2,necessary-domain2,assumption,json,out1,
relation2,necessary-domain2,assumption,json,out2,
relation2,necessary-domain2,assumption,json,out4,
relation2,necessary-domain2,assumption,text,out1,
relation2,necessary-domain2,assumption,text,out2,
relation2,necessary-domain2,assumption,text,out4,
relation2,necessary-domain2,domain2,json,out1,
relation2,necessary-domain2,domain2,json,out2,
relation2,necessary-domain2,domain2,json,out4,
relation2,necessary-domain2,domain2,text,out1,
relation2,necessary-domain2,domain2,text,out2,
relation2,necessary-domain2,domain2,text,out4,
relation2,necessary-domain2,domain3,json,out1,
relation2,necessary-domain2,domain3,json,out2,
relation2,necessary-domain2,domain3,json,out4,
relation2,necessary-domain2,domain3,text,out1,
relation2,necessary-domain2,domain3,text,out2,
relation2,necessary-domain2,domain3,text,out4,
relation2,necessary-domain2,performance3,json,out1,
relation2,necessary-domain2,performance3,json,out2,0.2082917160216606
relation2,necessary-domain2,performance3,json,out4,
relation2,necessary-domain2,performance3,text,out1,
relation2,necessary-domain2,performance3,text,out2,0.20597298976761064
relation2,necessary-domain2,performance3,text,out4,
relation2,necessary-domain2,test1,json,out1,
relation2,necessary-domain2,test1,json,out2,
relation2,necessary-domain2,test1,json,out4,
relation2,necessary-domain2,test1,text,out1,
relation2,necessary-domain2,test1,text,out2,
relation2,necessary-domain2,test1,text,out4,
relation2,necessary-domain2,test3,json,out1,
relation2,necessary-domain2,test3,json,out2,
relation2,necessary-domain2,test3,json,out4,
relation2,necessary-domain2,test3,text,out1,
relation2,necessary-domain2,test3,text,out2,
relation2,necessary-domain2,test3,text,out4,
role1,domain2,assumption,json,out1,
role1,domain2,assumption,json,out2,
role1,domain2,assumption,json,out4,
role1,domain2,assumption,text,out1,
role1,domain2,assumption,text,out2,
role1,domain2,assumption,text,out4,
role1,domain2,domain2,json,out1,
role1,domain2,domain2,json,out2,
role1,domain2,domain2,json,out4,
role1,domain2,domain2,text,out1,
role1,domain2,domain2,text,out2,
role1,domain2,domain2,text,out4,
role1,domain2,domain3,json,out1,
role1,domain2,domain3,json,out2,
role1,domain2,domain3,json,out4,
role1,domain2,domain3,text,out1,
role1,domain2,domain3,text,out2,
role1,domain2,domain3,text,out4,
role1,domain2,performance3,json,out1,
role1,domain2,performance3,json,out2,
role1,domain2,performance3,json,out4,
role1,domain2,performance3,text,out1,
role1,domain2,performance3,text,out2,
role1,domain2,performance3,text,out4,
role1,domain2,test1,json,out1,
role1,domain2,test1,json,out2,
role1,domain2,test1,json,out4,
role1,domain2,test1,text,out1,
role1,domain2,test1,text,out2,
role1,domain2,test1,text,out4,
role1,domain2,test3,json,out1,
role1,domain2,test3,json,out2,
role1,domain2,test3,json,out4,
role1,domain2,test3,text,out1,
role1,domain2,test3,text,out2,
role1,domain2,test3,text,out4,
role1,necessary-domain1,assumption,json,out1,
role1,necessary-domain1,assumption,json,out2,
role1,necessary-domain1,assumption,json,out4,
role1,necessary-domain1,assumption,text,out1,
role1,necessary-domain1,assumption,text,out2,
role1,necessary-domain1,assumption,text,out4,
role1,necessary-domain1,domain2,json,out1,
role1,necessary-domain1,domain2,json,out2,
role1,necessary-domain1,domain2,json,out4,
role1,necessary-domain1,domain2,text,out1,
role1,necessary-domain1,domain2,text,out2,
role1,necessary-domain1,domain2,text,out4,
role1,necessary-domain1,domain3,json,out1,
role1,necessary-domain1,domain3,json,out2,
role1,necessary-domain1,domain3,json,out4,
role1,necessary-domain1,domain3,text,out1,
role1,necessary-domain1,domain3,text,out2,
role1,necessary-domain1,domain3,text,out4,
role1,necessary-domain1,performance3,json,out1,
role1,necessary-domain1,performance3,json,out2,
role1,necessary-domain1,performance3,json,out4,
role1,necessary-domain1,performance3,text,out1,
role1,necessary-domain1,performance3,text,out2,
role1,necessary-domain1,performance3,text,out4,
role1,necessary-domain1,test1,json,out1,
role1,necessary-domain1,test1,json,out2,
role1,necessary-domain1,test1,json,out4,
role1,necessary-domain1,test1,text,out1,
role1,necessary-domain1,test1,text,out2,
role1,necessary-domain1,test1,text,out4,
role1,necessary-domain1,test3,json,out1,0.2233686711884011
role1,necessary-domain1,test3,json,out2,
role1,necessary-domain1,test3,json,out4,
role1,necessary-domain1,test3,text,out1,0.2209855809679425
role1,necessary-domain1,test3,text,out2,
role1,necessary-domain1,test3,text,out4,
role1,necessary-domain2,assumption,json,out1,
role1,necessary-domain2,assumption,json,out2,
role1,necessary-domain2,assumption,json,out4,
role1,necessary-domain2,assumption,text,out1,
role1,necessary-domain2,assumption,text,out2,
role1,necessary-domain2,assumption,text,out4,
role1,necessary-domain2,domain2,json,out1,
role1,necessary-domain2,domain2,json,out2,0.2095044503781228
role1,necessary-domain2,domain2,json,out4,
role1,necessary-domain2,domain2,text,out1,
role1,necessary-domain2,domain2,text,out2,0.2060118427450463
role1,necessary-domain2,domain2,text,out4,
role1,necessary-domain2,domain3,json,out1,
role1,necessary-domain2,domain3,json,out2,
role1,necessary-domain2,domain3,json,out4,
role1,necessary-domain2,domain3,text,out1,
role1,necessary-domain2,domain3,text,out2,
role1,necessary-domain2,domain3,text,out4,
role1,necessary-domain2,performance3,json,out1,
role1,necessary-domain2,performance3,json,out2,
role1,necessary-domain2,performance3,json,out4,
role1,necessary-domain2,performance3,text,out1,
role1,necessary-domain2,performance3,text,out2,
role1,necessary-domain2,performance3,text,out4,
role1,necessary-domain2,test1,json,out1,
role1,necessary-domain2,test1,json,out2,
role1,necessary-domain2,test1,json,out4,
role1,necessary-domain2,test1,text,out1,
role1,necessary-domain2,test1,text,out2,
role1,necessary-domain2,test1,text,out4,
role1,necessary-domain2,test3,json,out1,
role1,necessary-domain2,test3,json,out2,
role1,necessary-domain2,test3,json,out4,
role1,necessary-domain2,test3,text,out1,
role1,necessary-domain2,test3,text,out2,
role1,necessary-domain2,test3,text,out4,
role3,domain2,assumption,json,out1,
role3,domain2,assumption,json,out2,
role3,domain2,assumption,json,out4,
role3,domain2,assumption,text,out1,
role3,domain2,assumption,text,out2,
role3,domain2,assumption,text,out4,
role3,domain2,domain2,json,out1,
role3,domain2,domain2,json,out2,
role3,domain2,domain2,json,out4,
role3,domain2,domain2,text,out1,
role3,domain2,domain2,text,out2,
role3,domain2,domain2,text,out4,
role3,domain2,domain3,json,out1,
role3,domain2,domain3,json,out2,
role3,domain2,domain3,json,out4,
role3,domain2,domain3,text,out1,
role3,domain2,domain3,text,out2,
role3,domain2,domain3,text,out4,
role3,domain2,performance3,json,out1,
role3,domain2,performance3,json,out2,
role3,domain2,performance3,json,out4,
role3,domain2,performance3,text,out1,
role3,domain2,performance3,text,out2,
role3,domain2,performance3,text,out4,
role3,domain2,test1,json,out1,
role3,domain2,test1,json,out2,
role3,domain2,test1,json,out4,
role3,domain2,test1,text,out1,
role3,domain2,test1,text,out2,
role3,domain2,test1,text,out4,
role3,domain2,test3,json,out1,
role3,domain2,test3,json,out2,
role3,domain2,test3,json,out4,
role3,domain2,test3,text,out1,
role3,domain2,test3,text,out2,
role3,domain2,test3,text,out4,
role3,necessary-domain1,assumption,json,out1,
role3,necessary-domain1,assumption,json,out2,
role3,necessary-domain1,assumption,json,out4,
role3,necessary-domain1,assumption,text,out1,
role3,necessary-domain1,assumption,text,out2,
role3,necessary-domain1,assumption,text,out4,
role3,necessary-domain1,domain2,json,out1,
role3,necessary-domain1,domain2,json,out2,
role3,necessary-domain1,domain2,json,out4,
role3,necessary-domain1,domain2,text,out1,
role3,necessary-domain1,domain2,text,out2,
role3,necessary-domain1,domain2,text,out4,
role3,necessary-domain1,domain3,json,out1,
role3,necessary-domain1,domain3,json,out2,0.21543182007028144
role3,necessary-domain1,domain3,json,out4,
role3,necessary-domain1,domain3,text,out1,
role3,necessary-domain1,domain3,text,out2,0.2147969838944645
role3,necessary-domain1,domain3,text,out4,
role3,necessary-domain1,performance3,json,out1,
role3,necessary-domain1,performance3,json,out2,
role3,necessary-domain1,performance3,json,out4,
role3,necessary-domain1,performance3,text,out1,
role3,necessary-domain1,performance3,text,out2,
role3,necessary-domain1,performance3,text,out4,
role3,necessary-domain1,test1,json,out1,
role3,necessary-domain1,test1,json,out2,
role3,necessary-domain1,test1,json,out4,
role3,necessary-domain1,test1,text,out1,
role3,necessary-domain1,test1,text,out2,
role3,necessary-domain1,test1,text,out4,
role3,necessary-domain1,test3,json,out1,
role3,necessary-domain1,test3,json,out2,
role3,necessary-domain1,test3,json,out4,
role3,necessary-domain1,test3,text,out1,
role3,necessary-domain1,test3,text,out2,
role3,necessary-domain1,test3,text,out4,
role3,necessary-domain2,assumption,json,out1,
role3,necessary-domain2,assumption,json,out2,
role3,necessary-domain2,assumption,json,out4,
role3,necessary-domain2,assumption,text,out1,
role3,necessary-domain2,assumption,text,out2,
role3,necessary-domain2,assumption,text,out4,
role3,necessary-domain2,domain2,json,out1,
role3,necessary-domain2,domain2,json,out2,
role3,necessary-domain2,domain2,json,out4,
role3,necessary-domain2,domain2,text,out1,
role3,necessary-domain2,domain2,text,out2,
role3,necessary-domain2,domain2,text,out4,
role3,necessary-domain2,domain3,json,out1,
role3,necessary-domain2,domain3,json,out2,
role3,necessary-domain2,domain3,json,out4,
role3,necessary-domain2,domain3,text,out1,
role3,necessary-domain2,domain3,text,out2,
role3,necessary-domain2,domain3,text,out4,
role3,necessary-domain2,performance3,json,out1,
role3,necessary-domain2,performance3,json,out2,
role3,necessary-domain2,performance3,json,out4,
role3,necessary-domain2,performance3,text,out1,
role3,necessary-domain2,performance3,text,out2,
role3,necessary-domain2,performance3,text,out4,
role3,necessary-domain2,test1,json,out1,
role3,necessary-domain2,test1,json,out2,
role3,necessary-domain2,test1,json,out4,
role3,necessary-domain2,test1,text,out1,
role3,necessary-domain2,test1,text,out2,
role3,necessary-domain2,test1,text,out4,
role3,necessary-domain2,test3,json,out1,
role3,necessary-domain2,test3,json,out2,
role3,necessary-domain2,test3,json,out4,
role3,necessary-domain2,test3,text,out1,
role3,necessary-domain2,test3,text,out2,
role3,necessary-domain2,test3,text,out4,
